Resource,natural_gas_combined_cycle,solar_pv,onshore_wind,battery,Total
t808,0.0,0.0,0.0,0.0,0.0
t809,0.0,0.0,0.0,0.0,0.0
t810,0.0,0.0,0.0,0.0,0.0
t811,0.0,0.0,0.0,0.0,0.0
t812,0.0,0.0,0.0,0.0,0.0
t813,0.0,0.0,0.0,0.0,0.0
t814,0.0,0.0,0.0,0.0,0.0
t815,0.0,0.0,0.0,0.0,0.0
t816,0.0,0.0,0.0,0.0,0.0
t817,0.0,0.0,0.0,0.0,0.0
t818,0.0,0.0,0.0,0.0,0.0
t819,0.0,0.0,0.0,0.0,0.0
t820,0.0,0.0,0.0,0.0,0.0
t821,0.0,0.0,0.0,0.0,0.0
t822,0.0,0.0,0.0,0.0,0.0
t823,0.0,0.0,0.0,0.0,0.0
t824,0.0,0.0,0.0,0.0,0.0
t825,0.0,0.0,0.0,0.0,0.0
t826,0.0,0.0,0.0,0.0,0.0
t827,0.0,0.0,0.0,0.0,0.0
t828,0.0,0.0,0.0,0.0,0.0
t829,0.0,0.0,0.0,0.0,0.0
t830,0.0,0.0,0.0,0.0,0.0
t831,0.0,0.0,0.0,0.0,0.0
t832,0.0,0.0,0.0,0.0,0.0
t833,0.0,0.0,0.0,0.0,0.0
t834,0.0,0.0,0.0,0.0,0.0
t835,0.0,0.0,0.0,0.0,0.0
t836,0.0,0.0,0.0,0.0,0.0
t837,0.0,0.0,0.0,0.0,0.0
t838,0.0,0.0,0.0,0.0,0.0
t839,0.0,0.0,0.0,0.0,0.0
t840,0.0,0.0,0.0,0.0,0.0
t841,0.0,0.0,0.0,0.0,0.0
t842,0.0,0.0,0.0,0.0,0.0
t843,0.0,0.0,0.0,0.0,0.0
t844,0.0,0.0,0.0,0.0,0.0
t845,0.0,0.0,0.0,0.0,0.0
t846,0.0,0.0,0.0,0.0,0.0
t847,0.0,0.0,0.0,0.0,0.0
t848,0.0,0.0,0.0,0.0,0.0
t849,0.0,0.0,0.0,0.0,0.0
t850,0.0,0.0,0.0,0.0,0.0
t851,0.0,0.0,0.0,0.0,0.0
t852,0.0,0.0,0.0,0.0,0.0
t853,0.0,0.0,7665.3253200845875,0.0,7665.3253200845875
t854,0.0,0.0,0.0,0.0,0.0
t855,0.0,0.0,0.0,0.0,0.0
t856,0.0,0.0,0.0,0.0,0.0
t857,0.0,0.0,0.0,0.0,0.0
t858,0.0,0.0,0.0,0.0,0.0
t859,0.0,0.0,0.0,0.0,0.0
t860,0.0,0.0,0.0,0.0,0.0
t861,0.0,0.0,0.0,0.0,0.0
t862,0.0,0.0,0.0,0.0,0.0
t863,0.0,0.0,0.0,0.0,0.0
t864,0.0,0.0,0.0,0.0,0.0
t865,0.0,0.0,0.0,0.0,0.0
t866,0.0,0.0,0.0,0.0,0.0
t867,0.0,0.0,7329.123013734939,0.0,7329.123013734939
t868,0.0,0.0,3500.1008541406177,0.0,3500.1008541406177
t869,0.0,0.0,0.0,0.0,0.0
t870,0.0,0.0,6125.612881600631,0.0,6125.612881600631
t871,0.0,0.0,0.0,0.0,0.0
t872,0.0,0.0,0.0,0.0,0.0
t873,0.0,0.0,0.0,0.0,0.0
t874,0.0,0.0,0.0,0.0,0.0
t875,0.0,0.0,0.0,0.0,0.0
t876,0.0,0.0,0.0,0.0,0.0
t877,0.0,0.0,8341.837647255097,0.0,8341.837647255097
t878,0.0,0.0,2255.7606662368244,0.0,2255.7606662368244
t879,0.0,0.0,14226.142817546332,0.0,14226.142817546332
t880,0.0,0.0,7445.88069437511,0.0,7445.88069437511
t881,0.0,0.0,0.0,0.0,0.0
t882,0.0,0.0,96.7712221990844,0.0,96.7712221990844
t883,0.0,0.0,0.0,0.0,0.0
t884,0.0,0.0,0.0,0.0,0.0
t885,0.0,0.0,4860.084817097878,0.0,4860.084817097878
t886,0.0,0.0,0.0,0.0,0.0
t887,0.0,0.0,0.0,0.0,0.0
t888,0.0,0.0,588.0068420231978,0.0,588.0068420231978
t889,0.0,0.0,11508.995960688704,0.0,11508.995960688704
t890,0.0,0.0,13692.75415744308,0.0,13692.75415744308
t891,0.0,0.0,13427.147873907143,0.0,13427.147873907143
