Resource,natural_gas_combined_cycle,solar_pv,onshore_wind,battery
t96,0.0,0.0,0.0,11238.008677799035
t97,0.0,0.0,0.0,9900.258608594228
t98,0.0,0.0,0.0,14490.249092930033
t99,0.0,0.0,0.0,14742.104926764587
t100,0.0,0.0,0.0,16726.289544998162
t101,0.0,0.0,0.0,18689.474071349883
t102,0.0,0.0,0.0,18016.974759377685
t103,0.0,0.0,0.0,10706.851777606696
t104,0.0,0.0,0.0,3135.1346931867274
t105,0.0,0.0,0.0,-0.0
t106,0.0,0.0,0.0,840.291992634794
t107,0.0,0.0,0.0,5497.0752492889505
t108,0.0,0.0,0.0,13737.61970006777
t109,0.0,0.0,0.0,20560.819736203415
t110,0.0,0.0,0.0,28343.26147219566
t111,0.0,0.0,0.0,36696.63293347596
t112,0.0,0.0,0.0,36696.63293347596
t113,0.0,0.0,0.0,36696.63293347596
t114,0.0,0.0,0.0,33246.75524997267
t115,0.0,0.0,0.0,36696.63293347596
t116,0.0,0.0,0.0,36350.262830782216
t117,0.0,0.0,0.0,36696.63293347596
t118,0.0,0.0,0.0,27390.95107247482
t119,0.0,0.0,0.0,27390.95107247482
t120,0.0,0.0,0.0,23371.392308408645
t121,0.0,0.0,0.0,23695.556362351155
t122,0.0,0.0,0.0,23695.556362351155
t123,0.0,0.0,0.0,20713.294543470103
t124,0.0,0.0,0.0,14968.261940760975
t125,0.0,0.0,0.0,11629.256711713662
t126,0.0,0.0,0.0,9309.77827495352
t127,0.0,0.0,0.0,6131.929700290678
t128,0.0,0.0,0.0,-0.0
t129,0.0,0.0,0.0,1210.0054160480493
t130,0.0,0.0,0.0,9563.376877328343
t131,0.0,0.0,0.0,16738.02565679729
t132,0.0,0.0,0.0,20012.574552965147
t133,0.0,0.0,0.0,28365.94601424544
t134,0.0,0.0,0.0,35314.159711859145
t135,0.0,0.0,0.0,36696.63293347596
t136,0.0,0.0,0.0,33100.46549620165
t137,0.0,0.0,0.0,28203.425811598678
t138,0.0,0.0,0.0,26319.036008428877
t139,0.0,0.0,0.0,22606.40051604853
t140,0.0,0.0,0.0,13429.718216524043
t141,0.0,0.0,0.0,9204.722824126871
t142,0.0,0.0,0.0,6412.6135005517
t143,0.0,0.0,0.0,6454.793506643496
t144,0.0,0.0,0.0,7850.071517901193
t145,0.0,0.0,0.0,8758.458666802328
t146,0.0,0.0,0.0,12595.532370612427
t147,0.0,0.0,0.0,18702.691170373782
t148,0.0,0.0,0.0,23954.1463711815
t149,0.0,0.0,0.0,24894.499421334098
t150,0.0,0.0,0.0,18476.0524583946
t151,0.0,0.0,0.0,10181.69063806004
t152,0.0,0.0,0.0,1224.4918561479467
t153,0.0,0.0,0.0,0.0
t154,0.0,0.0,0.0,6596.0575934848075
t155,0.0,0.0,0.0,9006.158719390382
t156,0.0,0.0,0.0,14312.353118646073
t157,0.0,0.0,0.0,20229.560202438835
t158,0.0,0.0,0.0,25835.4109904836
t159,0.0,0.0,0.0,27899.818158549908
t160,0.0,0.0,0.0,23374.504833479277
t161,0.0,0.0,0.0,13505.209628753037
t162,0.0,0.0,0.0,11636.518549635084
t163,0.0,0.0,0.0,19989.890010915376
t164,0.0,0.0,0.0,28343.26147219567
t165,0.0,0.0,0.0,36696.63293347596
t166,0.0,0.0,0.0,26827.337728749717
t167,0.0,0.0,0.0,16958.042524023476
t168,0.0,0.0,0.0,25311.41398530377
t169,0.0,0.0,0.0,28343.261472195667
t170,0.0,0.0,0.0,36696.63293347596
t171,0.0,0.0,0.0,28343.261472195667
t172,0.0,0.0,0.0,36696.63293347596
t173,0.0,0.0,0.0,36696.63293347596
t174,0.0,0.0,0.0,26827.337728749717
t175,0.0,0.0,0.0,16958.042524023476
t176,0.0,0.0,0.0,7088.747319297231
t177,0.0,0.0,0.0,3887.1108874616125
t178,0.0,0.0,0.0,5063.320806132783
t179,0.0,0.0,0.0,9602.068752160543
t180,0.0,0.0,0.0,16169.757398775215
t181,0.0,0.0,0.0,23513.75116566777
t182,0.0,0.0,0.0,31113.50120957553
t183,0.0,0.0,0.0,35304.06374897654
t184,0.0,0.0,0.0,36696.63293347596
t185,0.0,0.0,0.0,30930.5814967752
t186,0.0,0.0,0.0,36696.63293347596
t187,0.0,0.0,0.0,28343.261472195667
t188,0.0,0.0,0.0,36696.63293347596
t189,0.0,0.0,0.0,26827.337728749717
t190,0.0,0.0,0.0,30910.437810782332
t191,0.0,0.0,0.0,21041.14260605609
t192,0.0,0.0,0.0,20593.596193981586
t193,0.0,0.0,0.0,19738.590409452485
t194,0.0,0.0,0.0,9869.295204726242
t195,0.0,0.0,0.0,0.0
t196,0.0,0.0,0.0,8353.371461280292
t197,0.0,0.0,0.0,1283.0778564526543
t198,0.0,0.0,0.0,9636.449317732946
t199,0.0,0.0,0.0,17989.82077901324
t200,0.0,0.0,0.0,8120.525574286998
t201,0.0,0.0,0.0,16473.89703556729
t202,0.0,0.0,0.0,17349.366512501645
t203,0.0,0.0,0.0,18607.002083250918
t204,0.0,0.0,0.0,20676.247120475226
t205,0.0,0.0,0.0,25183.728015311233
t206,0.0,0.0,0.0,31064.764481497106
t207,0.0,0.0,0.0,36120.02053335791
t208,0.0,0.0,0.0,36696.63293347596
t209,0.0,0.0,0.0,36696.63293347596
t210,0.0,0.0,0.0,36696.63293347596
t211,0.0,0.0,0.0,26827.337728749717
t212,0.0,0.0,0.0,16958.042524023476
t213,0.0,0.0,0.0,21942.12374813935
t214,0.0,0.0,0.0,14232.313672777876
t215,0.0,0.0,0.0,16922.79482067775
t216,0.0,0.0,0.0,19989.890010915376
t217,0.0,0.0,0.0,28343.26147219567
t218,0.0,0.0,0.0,36696.63293347596
t219,0.0,0.0,0.0,28343.261472195667
t220,0.0,0.0,0.0,36696.63293347596
t221,0.0,0.0,0.0,32216.263501846912
t222,0.0,0.0,0.0,36696.63293347596
t223,0.0,0.0,0.0,35302.940427446214
t224,0.0,0.0,0.0,31266.93645772624
t225,0.0,0.0,0.0,32333.472949294617
t226,0.0,0.0,0.0,32085.273121580485
t227,0.0,0.0,0.0,29981.286128337288
t228,0.0,0.0,0.0,29383.69502005912
t229,0.0,0.0,0.0,28822.581808045525
t230,0.0,0.0,0.0,31804.341457179038
t231,0.0,0.0,0.0,34342.91937759311
