Resource,natural_gas_combined_cycle,solar_pv,onshore_wind,battery
t126,0.0,0.0,0.0,-204.55997416172178
t127,0.0,0.0,0.0,-204.55997416172178
t128,0.0,0.0,0.0,19.68978282864832
t129,0.0,0.0,0.0,22.936888975246124
t130,0.0,0.0,0.0,22.936888975246124
t131,0.0,0.0,0.0,22.936888975246124
t132,0.0,0.0,0.0,22.936888975246124
t133,0.0,0.0,0.0,22.936888975246124
t134,0.0,0.0,0.0,22.936888975246124
t135,0.0,0.0,0.0,22.936888975246124
t136,0.0,0.0,0.0,-203.4816601969466
t137,0.0,0.0,0.0,-203.4816601969466
t138,0.0,0.0,0.0,-203.4816601969466
t139,0.0,0.0,0.0,-203.4816601969466
t140,0.0,0.0,0.0,-203.4816601969466
t141,0.0,0.0,0.0,-203.4816601969466
t142,0.0,0.0,0.0,-203.4816601969466
t143,0.0,0.0,0.0,-203.4816601969466
t144,0.0,0.0,0.0,-203.4816601969466
t145,0.0,0.0,0.0,-203.4816601969466
t146,0.0,0.0,0.0,-203.4816601969466
t147,0.0,0.0,0.0,-203.4816601969466
t148,0.0,0.0,0.0,-203.4816601969466
t149,0.0,0.0,0.0,-203.4816601969466
t150,0.0,0.0,0.0,-203.4816601969466
t151,0.0,0.0,0.0,-203.4816601969466
t152,0.0,0.0,0.0,-203.4816601969466
t153,0.0,0.0,0.0,-203.4816601969466
t154,0.0,0.0,0.0,22.936888975246124
t155,0.0,0.0,0.0,22.936888975246124
t156,0.0,0.0,0.0,22.936888975246124
t157,0.0,0.0,0.0,22.936888975246124
t158,0.0,0.0,0.0,22.936888975246124
t159,0.0,0.0,0.0,22.936888975246124
t160,0.0,0.0,0.0,22.936888975246124
t161,0.0,0.0,0.0,22.936888975246124
t162,0.0,0.0,0.0,22.936888975246124
t163,0.0,0.0,0.0,22.936888975246124
t164,0.0,0.0,0.0,22.936888975246124
t165,0.0,0.0,0.0,22.936888975246124
t166,0.0,0.0,0.0,22.936888975246124
t167,0.0,0.0,0.0,22.936888975246124
t168,0.0,0.0,0.0,22.936888975246124
t169,0.0,0.0,0.0,22.936888975246124
t170,0.0,0.0,0.0,22.936888975246124
t171,0.0,0.0,0.0,22.936888975246124
t172,0.0,0.0,0.0,22.936888975246124
t173,0.0,0.0,0.0,22.936888975246124
t174,0.0,0.0,0.0,22.936888975246124
t175,0.0,0.0,0.0,22.936888975246124
t176,0.0,0.0,0.0,22.936888975246124
t177,0.0,0.0,0.0,22.936888975246124
t178,0.0,0.0,0.0,23.036542354795515
t179,0.0,0.0,0.0,23.036542354795515
t180,0.0,0.0,0.0,23.036542354795515
t181,0.0,0.0,0.0,23.036542354795515
t182,0.0,0.0,0.0,23.036542354795515
t183,0.0,0.0,0.0,23.036542354795515
t184,0.0,0.0,0.0,23.036542354795515
t185,0.0,0.0,0.0,22.936888975246124
t186,0.0,0.0,0.0,22.936888975246124
t187,0.0,0.0,0.0,22.936888975246124
t188,0.0,0.0,0.0,22.936888975246124
t189,0.0,0.0,0.0,22.936888975246124
t190,0.0,0.0,0.0,22.936888975246124
t191,0.0,0.0,0.0,22.936888975246124
t192,0.0,0.0,0.0,22.936888975246124
t193,0.0,0.0,0.0,22.936888975246124
t194,0.0,0.0,0.0,22.936888975246124
t195,0.0,0.0,0.0,22.936888975246124
t196,0.0,0.0,0.0,22.936888975246124
t197,0.0,0.0,0.0,22.936888975246124
t198,0.0,0.0,0.0,22.936888975246124
t199,0.0,0.0,0.0,22.936888975246124
