Resource,natural_gas_combined_cycle,solar_pv,onshore_wind,battery,Total
t944,0.0,0.0,0.0,0.0,0.0
t945,0.0,0.0,0.0,0.0,0.0
t946,0.0,0.0,0.0,0.0,0.0
t947,0.0,0.0,0.0,0.0,0.0
t948,0.0,0.0,0.0,0.0,0.0
t949,0.0,0.0,0.0,898.8789679951985,898.8789679951985
t950,0.0,0.0,0.0,207.74524718552811,207.74524718552811
t951,0.0,0.0,0.0,0.0,0.0
t952,0.0,0.0,0.0,0.0,0.0
t953,0.0,0.0,0.0,0.0,0.0
t954,0.0,0.0,0.0,0.0,0.0
t955,0.0,0.0,0.0,0.0,0.0
t956,0.0,0.0,0.0,0.0,0.0
t957,0.0,0.0,0.0,1747.4898187807985,1747.4898187807985
t958,0.0,0.0,0.0,0.0,0.0
t959,0.0,0.0,0.0,0.0,0.0
t960,0.0,0.0,0.0,0.0,0.0
t961,0.0,0.0,0.0,0.0,0.0
t962,0.0,0.0,0.0,0.0,0.0
t963,0.0,0.0,0.0,0.0,0.0
t964,0.0,0.0,0.0,0.0,0.0
t965,0.0,0.0,0.0,0.0,0.0
t966,0.0,0.0,0.0,1842.4283438800069,1842.4283438800069
t967,0.0,0.0,0.0,0.0,0.0
t968,0.0,0.0,0.0,0.0,0.0
t969,0.0,0.0,0.0,0.0,0.0
t970,0.0,0.0,0.0,3455.555486364135,3455.555486364135
t971,0.0,0.0,0.0,7103.525947169335,7103.525947169335
t972,0.0,0.0,0.0,8016.77912471649,8016.77912471649
t973,0.0,0.0,0.0,7236.534256201044,7236.534256201044
t974,0.0,0.0,0.0,7735.746554569249,7735.746554569249
t975,0.0,0.0,0.0,6978.750697100364,6978.750697100364
t976,0.0,0.0,0.0,5730.295847128353,5730.295847128353
t977,0.0,0.0,0.0,3853.082752070348,3853.082752070348
t978,0.0,0.0,0.0,3245.7444188553277,3245.7444188553277
t979,0.0,0.0,0.0,771.8402332074775,771.8402332074775
t980,0.0,0.0,0.0,4824.389470211033,4824.389470211033
t981,0.0,0.0,0.0,9079.751588348143,9079.751588348143
t982,0.0,0.0,0.0,9000.305238406958,9000.305238406958
t983,0.0,0.0,0.0,7051.985882233121,7051.985882233121
t984,0.0,0.0,0.0,4917.543104607963,4917.543104607963
t985,0.0,0.0,0.0,1743.868762606886,1743.868762606886
t986,0.0,0.0,0.0,8091.21744660904,8091.21744660904
t987,0.0,0.0,0.0,0.0,0.0
t988,0.0,0.0,0.0,0.0,0.0
t989,0.0,0.0,0.0,0.0,0.0
t990,0.0,0.0,0.0,0.0,0.0
t991,0.0,0.0,0.0,0.0,0.0
t992,0.0,0.0,0.0,0.0,0.0
t993,0.0,0.0,0.0,357.58823122465344,357.58823122465344
t994,0.0,0.0,0.0,3287.626565345967,3287.626565345967
t995,0.0,0.0,0.0,6933.295025565409,6933.295025565409
t996,0.0,0.0,0.0,7211.572290015714,7211.572290015714
t997,0.0,0.0,0.0,7745.777093744039,7745.777093744039
t998,0.0,0.0,0.0,6591.363555869016,6591.363555869016
t999,0.0,0.0,0.0,9079.751588348143,9079.751588348143
t1000,0.0,0.0,0.0,8721.150273135492,8721.150273135492
t1001,0.0,0.0,0.0,4917.543104607963,4917.543104607963
t1002,0.0,0.0,0.0,-0.0,0.0
t1003,0.0,0.0,0.0,-0.0,0.0
t1004,0.0,0.0,0.0,3068.8087711706376,3068.8087711706376
t1005,0.0,0.0,0.0,4114.738196040675,4114.738196040675
t1006,0.0,0.0,0.0,9079.751588348143,9079.751588348143
t1007,0.0,0.0,0.0,9079.751588348143,9079.751588348143
t1008,0.0,0.0,0.0,9079.751588348143,9079.751588348143
t1009,0.0,0.0,0.0,9079.751588348143,9079.751588348143
t1010,0.0,0.0,0.0,5620.951927071244,5620.951927071244
