Resource,natural_gas_combined_cycle,solar_pv,onshore_wind,battery,Total
t32,0.0,-0.0,2249.248411651857,9079.751588348143,11329.0
t33,0.0,4893.488672768359,10378.07155422533,2956.5956806772274,18228.155907670916
t34,0.0,10453.715177201406,11525.036411146737,-0.0,21978.751588348143
t35,0.0,15145.347442218072,0.0,3708.2020730650356,18853.549515283106
t36,0.0,17292.36559739519,0.0,2754.192995476477,20046.55859287167
t37,0.0,17472.812992203522,0.0,2652.9692980723107,20125.782290275834
t38,0.0,16558.342296479936,0.0,3066.2046459341045,19624.54694241404
t39,0.0,14304.27907658601,19.05554428177325,4162.208483740181,18485.543104607965
t40,0.0,9765.568332593355,0.0,6544.091627877394,16309.659960470748
t41,0.0,3067.605711741665,17517.49519740054,1780.3253396029677,22365.426248745174
t42,0.0,-0.0,7294.248411651855,9079.751588348143,16373.999999999998
t43,0.0,-0.0,7150.248411651857,9079.751588348143,16230.0
t44,0.0,-0.0,6758.248411651855,9079.751588348143,15837.999999999998
t45,0.0,-0.0,20233.913800422557,2021.4188939627936,22255.33269438535
t46,0.0,-0.0,5109.248411651856,9079.751588348143,14189.0
t47,0.0,-0.0,22019.751588348143,-0.0,22019.751588348143
t48,0.0,-0.0,2728.2484116518563,9079.751588348143,11808.0
t49,0.0,-0.0,20136.751588348143,-0.0,20136.751588348143
t50,0.0,-0.0,19761.751588348143,-0.0,19761.751588348143
t51,0.0,-0.0,7380.332344746439,6100.709621800853,13481.041966547291
t52,0.0,-0.0,18796.707884864896,403.5218517416226,19200.229736606518
t53,0.0,-0.0,19612.147629595427,184.30197937635828,19796.449608971787
t54,0.0,-0.0,21100.751588348146,-0.0,21100.751588348146
t55,0.0,-0.0,14758.334620867785,4162.208483740181,18920.543104607965
t56,0.0,-0.0,11448.036009213449,6372.357789567348,17820.393798780795
t57,0.0,6566.450112771042,5469.80381414807,6172.248830714516,18208.50275763363
t58,0.0,13334.756633293779,0.0,5575.497477527183,18910.254110820963
t59,0.0,17699.136843319062,0.0,3462.307372514542,21161.444215833602
