BalanceComponent,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand
t70,10027.548099592406,7685.101744377869,-1394.6498439702743,0.0,0.0,0.0,0.0,0.0,0.0,-16318.000000000002
t71,21670.888332475264,1180.4316279364405,-7899.3199604117035,0.0,0.0,0.0,0.0,0.0,0.0,-14952.0
t72,22835.751588348146,0.0,-9079.751588348143,0.0,0.0,0.0,0.0,0.0,0.0,-13756.0
t73,9546.48894652645,6272.631320910846,-2807.1202674372953,0.0,0.0,0.0,0.0,0.0,0.0,-13012.0
t74,3541.248411651857,9079.751588348143,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12621.0
t75,21501.751588348143,0.0,-9079.751588348143,0.0,0.0,0.0,0.0,0.0,0.0,-12422.0
t76,3364.248411651857,9079.751588348143,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12444.0
t77,21863.751588348143,0.0,-9079.751588348143,0.0,0.0,0.0,0.0,0.0,0.0,-12784.0
t78,13413.410751966901,4753.170418190621,-4326.581170157523,0.0,0.0,0.0,0.0,0.0,0.0,-13840.0
t79,11652.852331130987,6593.949628608577,-2485.8019597395655,0.0,0.0,0.0,0.0,0.0,0.0,-15761.0
t80,21678.786030901007,2103.9827787235686,-6975.768809624575,0.0,0.0,0.0,0.0,0.0,0.0,-16807.0
t81,25907.751588348143,0.0,-9079.751588348143,0.0,0.0,0.0,0.0,0.0,0.0,-16828.0
t82,23898.78429415802,981.9836470950611,-8097.7679412530815,0.0,0.0,0.0,0.0,0.0,0.0,-16783.0
t83,18491.270322223438,3666.7406330623526,-5413.010955285791,0.0,0.0,0.0,0.0,0.0,0.0,-16745.0
t84,23494.404736837543,1083.1734257552998,-7996.578162592844,0.0,0.0,0.0,0.0,0.0,0.0,-16581.0
t85,21866.473321741094,1778.6391333035256,-7301.1124550446175,0.0,0.0,0.0,0.0,0.0,0.0,-16344.000000000002
t86,20532.29614206706,2375.7277231405424,-6704.023865207601,0.0,0.0,0.0,0.0,0.0,0.0,-16204.0
t87,16446.910979406144,2043.8740427692742,-2414.785022175418,0.0,0.0,0.0,0.0,0.0,0.0,-16076.0
t88,15380.949917647828,861.0500823521727,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-16242.0
