BalanceComponent,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand
t46,35969.691821299595,3.699069226638334e-15,-160.69182129959665,0.0,0.0,0.0,4.0835785987306023e-19,0.0,0.0,-35809.0
t47,33937.40410039889,3.697593452466707e-15,-177.40410039889355,0.0,0.0,0.0,4.0835785962062474e-19,0.0,0.0,-33760.0
t48,31548.75235116602,3.694729382298941e-15,-196.7523511660163,0.0,0.0,0.0,4.0835785813125536e-19,0.0,0.0,-31352.0
t49,30234.369013088017,3.691580278720184e-15,-215.36901308801706,0.0,0.0,0.0,4.083578570710263e-19,0.0,0.0,-30019.0
t50,29574.954931271295,3.689703837491786e-15,-218.95493127129362,0.0,0.0,0.0,4.0835785704578275e-19,0.0,0.0,-29356.0
t51,29147.67926772774,3.692515304762858e-15,-166.6792677277428,0.0,0.0,0.0,4.0835785689432146e-19,0.0,0.0,-28981.0
t52,29329.428131678913,3.690581113299609e-15,-183.42813167890893,0.0,0.0,0.0,4.08357857424436e-19,0.0,0.0,-29146.0
t53,29869.266224113755,3.687607633606582e-15,-202.26622411375547,0.0,0.0,0.0,4.0835785739919244e-19,0.0,0.0,-29667.0
t54,31586.000741415337,3.68451845988359e-15,-218.00074141533432,0.0,0.0,0.0,4.083578577526021e-19,0.0,0.0,-31368.0
t55,36182.4011293381,3.681746287207132e-15,-229.40112933810437,0.0,0.0,0.0,4.0835786065561025e-19,0.0,0.0,-35953.0
t56,42192.698114492065,3.68308204885917e-15,-192.69811449206156,0.0,0.0,0.0,4.083578717627718e-19,0.0,0.0,-42000.0
t57,44201.068465354416,3.680345885939716e-15,-197.06846535441187,0.0,0.0,0.0,4.083578695918266e-19,0.0,0.0,-44004.0
t58,44775.30849218634,3.6777543728177625e-15,-212.30849218634697,0.0,0.0,0.0,4.0835787380749926e-19,0.0,0.0,-44563.0
t59,44098.94247356338,3.673832270610936e-15,-230.94247356337624,0.0,0.0,0.0,4.0835787108119598e-19,0.0,0.0,-43868.0
t60,44767.70492026054,3.671210849222972e-15,-234.7049202605379,0.0,0.0,0.0,4.0835788143105105e-19,0.0,0.0,-44533.0
t61,44283.73630155868,3.668569322900027e-15,-184.7363015586809,0.0,0.0,0.0,4.0835788317285593e-19,0.0,0.0,-44099.0
t62,40697.49819664273,3.661005366760919e-15,-219.49819664273116,0.0,0.0,0.0,4.083578676985604e-19,0.0,0.0,-40478.0
t63,39387.68729583183,3.6539907606019544e-15,-253.6872958318259,0.0,0.0,0.0,4.0835786747136847e-19,0.0,0.0,-39134.0
t64,39707.944481481056,3.647750157785311e-15,-312.944481481054,0.0,0.0,0.0,4.0835789231102066e-19,0.0,0.0,-39395.0
t65,39793.111808881105,2276.8881911188946,-8.124437148016784e-18,0.0,0.0,0.0,6.382059044079991e-19,0.0,0.0,-42070.0
t66,40065.71979040368,5867.280209596321,-8.113657445889447e-18,0.0,0.0,0.0,6.374708607296919e-19,0.0,0.0,-45933.0
t67,40409.39902516068,6431.600974839322,-2.468821296174626e-18,0.0,0.0,0.0,7.5026799331989965e-19,0.0,0.0,-46841.0
t68,41632.76937555453,2276.2306244454644,-3.048173008688922e-18,0.0,0.0,0.0,6.377757355019126e-19,0.0,0.0,-43909.0
t69,42688.320292995224,770.6797070047768,-5.5204656067130954e-15,0.0,0.0,0.0,4.0846312017110764e-19,0.0,0.0,-43459.0
t70,38324.8214557747,2.6621094329434533e-15,-1741.8214557747128,0.0,0.0,0.0,4.0835786812770075e-19,0.0,0.0,-36583.0
t71,34394.52357864198,3.6389012992975255e-15,-787.523578641974,0.0,0.0,0.0,4.0835786110999413e-19,0.0,0.0,-33607.0
t72,31847.39964077362,3.639815575721328e-15,-632.399640773619,0.0,0.0,0.0,4.0835785888856182e-19,0.0,0.0,-31215.0
t73,30277.949780320672,3.6406463641855204e-15,-604.9497803206751,0.0,0.0,0.0,4.0835785911575377e-19,0.0,0.0,-29673.0
t74,29229.230198295867,3.6412828236253935e-15,-601.230198295867,0.0,0.0,0.0,4.083578572729747e-19,0.0,0.0,-28628.0
t75,28969.185743677615,3.6420286193850435e-15,-568.1857436776166,0.0,0.0,0.0,4.0835785724773114e-19,0.0,0.0,-28401.0
t76,28914.662105185263,3.644427592260753e-15,-403.66210518526555,0.0,0.0,0.0,4.0835785787881987e-19,0.0,0.0,-28511.0
t77,29708.900897216176,3.645056453322916e-15,-404.9008972161798,0.0,0.0,0.0,4.083578578030892e-19,0.0,0.0,-29304.0
t78,31714.246951565576,3.645512439634116e-15,-426.2469515655755,0.0,0.0,0.0,4.083578581060118e-19,0.0,0.0,-31288.0
t79,37108.71957029699,3.64607476466595e-15,-463.71957029698297,0.0,0.0,0.0,4.083578606303667e-19,0.0,0.0,-36645.0
t80,44234.56570634505,3.647490277385784e-15,-407.56570634503817,0.0,0.0,0.0,4.0835787479199767e-19,0.0,0.0,-43827.0
t81,45742.87435603392,3.6501305242671166e-15,-316.8743560339258,0.0,0.0,0.0,4.083578835767527e-19,0.0,0.0,-45426.0
t82,45539.03330177715,3.649519304382479e-15,-339.0333017771448,0.0,0.0,0.0,4.0835786747136847e-19,0.0,0.0,-45200.0
t83,44069.116564235286,3.649381094703036e-15,-392.1165642352761,0.0,0.0,0.0,4.0835786411397646e-19,0.0,0.0,-43677.0
t84,44499.86084003167,3.6493719456718705e-15,-414.86084003166155,0.0,0.0,0.0,4.0835786343240064e-19,0.0,0.0,-44085.0
t85,44503.933659804155,3.649654811249271e-15,-400.9336598041568,0.0,0.0,0.0,4.083578628013119e-19,0.0,0.0,-44103.0
t86,41934.64743660339,3.65148944852727e-15,-284.64743660338564,0.0,0.0,0.0,4.0835786025171347e-19,0.0,0.0,-41650.0
t87,41005.94427271064,3.65159183104983e-15,-288.94427271064444,0.0,0.0,0.0,4.08357859494407e-19,0.0,0.0,-40717.0
t88,41651.541554631534,3.651718526581942e-15,-312.5415546315384,0.0,0.0,0.0,4.0835786174108286e-19,0.0,0.0,-41339.0
t89,44716.58798722771,3.652245883897549e-15,-331.58798722771814,0.0,0.0,0.0,4.083578733531154e-19,0.0,0.0,-44385.0
t90,47773.83878067878,437.16121932122286,-4.087671749020357e-15,0.0,0.0,0.0,4.0843935420279226e-19,0.0,0.0,-48211.0
t91,48441.16114639443,48.83885360556626,-4.186023452508584e-15,0.0,0.0,0.0,4.084640077090458e-19,0.0,0.0,-48490.0
t92,45283.628484276385,3.654580595489613e-15,-291.62848427638426,0.0,0.0,0.0,4.0835787236861697e-19,0.0,0.0,-44992.0
t93,44294.43791642276,3.653991657369136e-15,-309.4379164227531,0.0,0.0,0.0,4.08357867218933e-19,0.0,0.0,-43985.0
t94,36878.523819531765,3.6535847751874346e-15,-335.52381953176297,0.0,0.0,0.0,4.083578595953812e-19,0.0,0.0,-36543.0
t95,33508.28114910239,3.653538812483108e-15,-337.2811491023945,0.0,0.0,0.0,4.0835785813125536e-19,0.0,0.0,-33171.0
t96,30998.954797373688,3.655688307996264e-15,-268.95479737368805,0.0,0.0,0.0,4.0835785765162793e-19,0.0,0.0,-30730.0
t97,28531.73492515197,3.655562792127103e-15,-282.7349251519726,0.0,0.0,0.0,4.0835785669237306e-19,0.0,0.0,-28249.0
t98,28268.878039123716,3.655241621263101e-15,-307.8780391237201,0.0,0.0,0.0,4.083578566671295e-19,0.0,0.0,-27961.0
t99,27886.637293526597,3.6548417106629995e-15,-327.6372935265952,0.0,0.0,0.0,4.0835785596031014e-19,0.0,0.0,-27559.0
t100,28023.78186948473,3.6547225583976885e-15,-328.7818694847289,0.0,0.0,0.0,4.0835785664188597e-19,0.0,0.0,-27695.0
t101,28431.074954673855,3.656680308378373e-15,-254.07495467385468,0.0,0.0,0.0,4.0835785669237306e-19,0.0,0.0,-28177.0
t102,30338.925635893946,3.656253391572043e-15,-264.925635893945,0.0,0.0,0.0,4.0835785760114083e-19,0.0,0.0,-30074.0
t103,35576.39281390055,3.655711613189637e-15,-284.39281390054987,0.0,0.0,0.0,4.083578617663264e-19,0.0,0.0,-35292.0
t104,42539.33783277025,3.668094948053617e-15,-54.3378327702384,0.0,0.0,0.0,4.0835807010133603e-19,0.0,0.0,-42485.0
t105,42545.35168466674,2610.648315333274,-4.088532983831548e-15,0.0,0.0,0.0,4.084394649967287e-19,0.0,0.0,-45156.0
t106,44208.13567020086,1027.8643297991384,-4.087963916243746e-15,0.0,0.0,0.0,4.084394116571097e-19,0.0,0.0,-45236.0
t107,44955.277920194196,3.673348941224203e-15,-177.27792019419053,0.0,0.0,0.0,4.083580305446948e-19,0.0,0.0,-44778.0
t108,45615.89368598016,3.6741030735168616e-15,-215.89368598015835,0.0,0.0,0.0,4.083580337506255e-19,0.0,0.0,-45400.0
t109,44902.37569280181,3.65882427480952e-15,-250.3756928018031,0.0,0.0,0.0,4.083578828446898e-19,0.0,0.0,-44652.0
t110,41184.928830677934,3.657374820904599e-15,-248.92883067793184,0.0,0.0,0.0,4.0835786530042326e-19,0.0,0.0,-40936.0
t111,39821.709669510405,3.659607548364966e-15,-209.7096695104079,0.0,0.0,0.0,4.0835786456836034e-19,0.0,0.0,-39612.0
t112,40122.23153308219,3.6602227272394125e-15,-216.23153308218872,0.0,0.0,0.0,4.083578696928008e-19,0.0,0.0,-39906.0
t113,42391.56185111331,3.663126227245822e-15,-285.56185111330734,0.0,0.0,0.0,4.0835791402047277e-19,0.0,0.0,-42106.0
t114,43863.51842441797,1890.4815755820275,-4.0863121320998384e-15,0.0,0.0,0.0,4.0843942251183577e-19,0.0,0.0,-45754.0
t115,44313.535433971905,1960.464566028092,-4.085657912885419e-15,0.0,0.0,0.0,4.0843942478375517e-19,0.0,0.0,-46274.0
t116,42710.85507613249,3.669916726292006e-15,-227.85507613248188,0.0,0.0,0.0,4.0835792144207617e-19,0.0,0.0,-42483.0
t117,41511.60367687265,3.6686648640185354e-15,-211.60367687265233,0.0,0.0,0.0,4.0835787080351694e-19,0.0,0.0,-41300.0
t118,34965.781035604865,3.669994211401911e-15,-217.78103560486733,0.0,0.0,0.0,4.0835785997403443e-19,0.0,0.0,-34748.0
t119,31609.829542344913,3.6720140506967475e-15,-232.82954234491226,0.0,0.0,0.0,4.083578595953812e-19,0.0,0.0,-31377.0
t120,28992.797541872977,3.673944745770945e-15,-229.7975418729751,0.0,0.0,0.0,4.083578581060118e-19,0.0,0.0,-28763.0
t121,26332.49074625838,3.6812390473376126e-15,-176.4907462583795,0.0,0.0,0.0,4.0835785772735857e-19,0.0,0.0,-26156.0
t122,24596.48621976509,3.683410827510061e-15,-183.48621976509307,0.0,0.0,0.0,4.0835785636420693e-19,0.0,0.0,-24413.0
t123,23831.14009846925,3.685062898995834e-15,-197.1400984692466,0.0,0.0,0.0,4.0835785636420693e-19,0.0,0.0,-23634.0
t124,23559.13020607331,3.6865674063200135e-15,-209.13020607331035,0.0,0.0,0.0,4.083578556826311e-19,0.0,0.0,-23350.0
t125,23708.875111342553,3.688630095535134e-15,-207.87511134255533,0.0,0.0,0.0,4.083578566166424e-19,0.0,0.0,-23501.0
t126,25062.82686912244,3.696491865542685e-15,-155.82686912244006,0.0,0.0,0.0,4.083578568185908e-19,0.0,0.0,-24907.0
t127,29080.256669172086,3.6988128272216194e-15,-165.25666917208923,0.0,0.0,0.0,4.0835785906526667e-19,0.0,0.0,-28915.0
t128,35389.81214956571,3.700209712971432e-15,-191.81214956570994,0.0,0.0,0.0,4.0835786426543775e-19,0.0,0.0,-35198.0
t129,37898.70189728292,3.702781800273688e-15,-188.70189728292598,0.0,0.0,0.0,4.0835786832964914e-19,0.0,0.0,-37710.0
t130,38813.11904006309,3.702671767881425e-15,-209.11904006308447,0.0,0.0,0.0,4.083578634576442e-19,0.0,0.0,-38604.0
t131,38198.563706633606,3.7109837767424844e-15,-148.56370663359306,0.0,0.0,0.0,4.0835786002452153e-19,0.0,0.0,-38050.0
t132,39044.39003719983,3.712682110888954e-15,-159.39003719983492,0.0,0.0,0.0,4.083578596963554e-19,0.0,0.0,-38885.0
t133,39491.3693608596,3.7135163159192686e-15,-173.36936085959667,0.0,0.0,0.0,4.0835785987306023e-19,0.0,0.0,-39318.0
t134,37945.07798102293,3.714088460722347e-15,-187.07798102293583,0.0,0.0,0.0,4.083578596963554e-19,0.0,0.0,-37758.0
t135,37771.20298601392,3.7156050178967025e-15,-182.2029860139196,0.0,0.0,0.0,4.0835785848466504e-19,0.0,0.0,-37589.0
t136,38671.234743197856,3.724657658118655e-15,-138.23474319784978,0.0,0.0,0.0,4.083578592419715e-19,0.0,0.0,-38533.0
