BalanceComponent,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand
t795,23461.24582762282,1.3962146706424513e-10,-3.245827622956225,0.0,0.0,0.0,1.553260569291226e-14,0.0,0.0,-23458.0
t796,23839.477430839732,1.398672766398866e-10,-3.4774308398770595,0.0,0.0,0.0,1.5518115675120098e-14,0.0,0.0,-23836.0
t797,25067.39491151925,1.4049544390701023e-10,-3.3949115193865556,0.0,0.0,0.0,1.5522632005824494e-14,0.0,0.0,-25064.0
t798,27373.21590726982,1.412777547761498e-10,-3.215907269964445,0.0,0.0,0.0,1.5522034493475934e-14,0.0,0.0,-27370.0
t799,32252.985844171482,1.4340990748129897e-10,-2.985844171630086,0.0,0.0,0.0,1.552589970814559e-14,0.0,0.0,-32250.0
t800,38934.13523282512,1.4444136062346405e-10,-3.1352328252645667,0.0,0.0,0.0,1.5503466790483312e-14,0.0,0.0,-38931.0
t801,42157.9790418489,1.4322119562183664e-10,-2.979041849045345,0.0,0.0,0.0,1.5493630524300922e-14,0.0,0.0,-42155.0
t802,42686.91563184102,1.3890788485683972e-10,-2.9156318411521616,0.0,0.0,0.0,1.5499628047745422e-14,0.0,0.0,-42684.0
t803,42149.48632557304,1.3847466475782947e-10,-3.486325573176121,0.0,0.0,0.0,1.5500124686983483e-14,0.0,0.0,-42146.0
t804,42712.59165681673,1.411834313556116e-10,-3.5916568168752123,0.0,0.0,0.0,1.5497633035934066e-14,0.0,0.0,-42709.0
t805,42737.56493076544,1.4192690049347444e-10,-3.564930765568092,0.0,0.0,0.0,1.5499902966373102e-14,0.0,0.0,-42734.0
t806,40176.753472673074,1.4113910908491796e-10,-3.7534726732030115,0.0,0.0,0.0,1.5492340948474578e-14,0.0,0.0,-40173.0
t807,39007.647504990855,1.417526784984213e-10,-3.6475049910008126,0.0,0.0,0.0,1.549340214871646e-14,0.0,0.0,-39004.0
t808,38885.129435293624,1.4280035122948535e-10,-3.129435293768625,0.0,0.0,0.0,1.5492592686823053e-14,0.0,0.0,-38882.0
t809,40210.98387699161,1.4430500804306954e-10,-2.983876991749079,0.0,0.0,0.0,1.5482758953072283e-14,0.0,0.0,-40208.0
t810,42782.75762738865,1.4685398507153213e-10,-3.7576273887936686,0.0,0.0,0.0,1.550132634003122e-14,0.0,0.0,-42779.0
t811,43580.03484875761,1.4264073394480323e-10,-4.034848757756091,0.0,0.0,0.0,1.5495258253847834e-14,0.0,0.0,-43576.0
t812,41022.98799713865,1.4466001944962202e-10,-2.987997138796639,0.0,0.0,0.0,1.5504793945359043e-14,0.0,0.0,-41020.0
t813,40632.83913140186,1.4521367383859385e-10,-2.839131401991586,0.0,0.0,0.0,1.5508925934629362e-14,0.0,0.0,-40630.0
t814,35110.839884984845,1.4274441015463673e-10,-2.839884984987666,0.0,0.0,0.0,1.5512225148607433e-14,0.0,0.0,-35108.0
t815,32372.24850739938,1.4215613073337645e-10,-3.2485073995177283,0.0,0.0,0.0,1.551174116980627e-14,0.0,0.0,-32369.0
t816,30252.289589008364,1.4182353517042026e-10,-3.289589008504422,0.0,0.0,0.0,1.54871518408293e-14,0.0,0.0,-30249.0
t817,29179.12537249495,1.424742597317389e-10,-3.1253724950871775,0.0,0.0,0.0,1.548463507645956e-14,0.0,0.0,-29176.0
t818,28172.13341896224,1.413614061472424e-10,-3.1334189623793147,0.0,0.0,0.0,1.547587852106522e-14,0.0,0.0,-28169.0
t819,28038.21992777002,1.390944041769899e-10,-3.2199277701562456,0.0,0.0,0.0,1.545784691309028e-14,0.0,0.0,-28035.0
t820,28695.057106946537,1.3715441373982964e-10,-3.057106946674184,0.0,0.0,0.0,1.544964017725557e-14,0.0,0.0,-28692.0
t821,29761.023603717967,1.3621339692735752e-10,-3.0236037181070685,0.0,0.0,0.0,1.5413355949108055e-14,0.0,0.0,-29758.0
t822,31440.243833301272,1.4211822117693972e-10,-2.243833301415928,0.0,0.0,0.0,1.5398179114833657e-14,0.0,0.0,-31438.0
t823,33915.1613078859,1.4489178500658673e-10,-2.161307886046309,0.0,0.0,0.0,1.5402540189201093e-14,0.0,0.0,-33913.0
t824,36376.91531140544,1.4516969574774544e-10,-1.9153114055851885,0.0,0.0,0.0,1.5392243851669687e-14,0.0,0.0,-36375.0
t825,39026.331822146654,1.4271506720680035e-10,-2.331822146799266,0.0,0.0,0.0,1.538773806820311e-14,0.0,0.0,-39024.0
t826,41365.132424772055,1.3900944977194853e-10,-2.1324247721933833,0.0,0.0,0.0,1.539185690981564e-14,0.0,0.0,-41363.0
t827,42180.069286534504,1.396022733681287e-10,-2.069286534642352,0.0,0.0,0.0,1.5388798006420318e-14,0.0,0.0,-42178.0
t828,43513.66170893441,1.4627155817696266e-10,-2.661708934548046,0.0,0.0,0.0,1.5642545927360583e-14,0.0,0.0,-43511.0
t829,42772.95447526372,1.3641976511805182e-10,-2.9544752638591527,0.0,0.0,0.0,1.5387457600941586e-14,0.0,0.0,-42770.0
t830,39577.62449636869,1.370617056642831e-10,-2.624496368829564,0.0,0.0,0.0,1.538727527371887e-14,0.0,0.0,-39575.0
t831,37883.77079677781,1.3627145838013994e-10,-2.7707967779427087,0.0,0.0,0.0,1.5379348554564695e-14,0.0,0.0,-37881.0
t832,35518.974583341165,1.3950785821564325e-10,-1.974583341299315,0.0,0.0,0.0,1.5384766313167625e-14,0.0,0.0,-35517.0
t833,34821.1414482058,1.4227505060405e-10,-2.1414482059376807,0.0,0.0,0.0,1.537704997320427e-14,0.0,0.0,-34819.0
t834,34964.998918311976,1.4159724590931141e-10,-1.9989183121144767,0.0,0.0,0.0,1.5418718299714678e-14,0.0,0.0,-34963.0
t835,37592.33679099874,1.429659201879805e-10,-2.3367909988836644,0.0,0.0,0.0,1.543868455339286e-14,0.0,0.0,-37590.0
t836,38168.23919298221,1.5209150837045248e-10,-2.239192982361915,0.0,0.0,0.0,1.5440770405702084e-14,0.0,0.0,-38166.0
t837,37211.35569775872,1.434568299334107e-10,-2.3556977588603436,0.0,0.0,0.0,1.545868264788986e-14,0.0,0.0,-37209.0
t838,35769.70149696653,1.4355932836380612e-10,-2.7014969666773863,0.0,0.0,0.0,1.5491080452589898e-14,0.0,0.0,-35767.0
t839,33273.54333569534,1.4640929852801462e-10,-2.5433356954864896,0.0,0.0,0.0,1.5498405777350668e-14,0.0,0.0,-33271.0
t840,29877.883004534073,1.3960939178981378e-10,-1.8830045342118582,0.0,0.0,0.0,1.5492908293174513e-14,0.0,0.0,-29876.0
t841,27293.32192534536,1.3616599491906534e-10,-2.3219253454947784,0.0,0.0,0.0,1.5483922953950372e-14,0.0,0.0,-27291.0
t842,25918.596749597265,1.3522383523455006e-10,-2.5967495974037886,0.0,0.0,0.0,1.548829138638501e-14,0.0,0.0,-25916.0
t843,25712.57334103476,1.3557036660988708e-10,-2.573341034895795,0.0,0.0,0.0,1.5498618199870866e-14,0.0,0.0,-25710.0
t844,25756.459996435704,1.3665442993433801e-10,-2.4599964358405817,0.0,0.0,0.0,1.5518830506382654e-14,0.0,0.0,-25754.0
t845,25970.285418830772,1.3748913718122366e-10,-2.2854188309102152,0.0,0.0,0.0,1.5528963373708454e-14,0.0,0.0,-25968.0
t846,27232.331589648176,1.3638734879126223e-10,-2.3315896483187446,0.0,0.0,0.0,1.5514737384658095e-14,0.0,0.0,-27230.0
t847,28641.31060728629,1.395956478976614e-10,-2.310607286423842,0.0,0.0,0.0,1.5539524764273903e-14,0.0,0.0,-28639.0
t848,29955.473310598834,1.3851291815063007e-10,-2.4733105989700213,0.0,0.0,0.0,1.554629569738486e-14,0.0,0.0,-29953.0
t849,30885.444756613368,1.3914768413890065e-10,-2.4447566135046053,0.0,0.0,0.0,1.5550884457215386e-14,0.0,0.0,-30883.0
t850,32199.4998482964,1.3968740622732456e-10,-2.4998482965372117,0.0,0.0,0.0,1.555704880991641e-14,0.0,0.0,-32197.0
t851,32966.78594961135,1.4030254339276582e-10,-2.7859496114997646,0.0,0.0,0.0,1.5559616484902277e-14,0.0,0.0,-32964.0
t852,34203.6272801543,1.4086698432020298e-10,-2.6272801544403768,0.0,0.0,0.0,1.5559772958954313e-14,0.0,0.0,-34201.0
t853,34717.55124206473,1.41695284714966e-10,-2.55124206487538,0.0,0.0,0.0,1.5564850090296335e-14,0.0,0.0,-34715.0
t854,33159.630902652265,1.4125815493033003e-10,-2.630902652402809,0.0,0.0,0.0,1.556627456196351e-14,0.0,0.0,-33157.0
t855,32172.710931792448,1.4082948176912341e-10,-2.7109317925897667,0.0,0.0,0.0,1.557382973834358e-14,0.0,0.0,-32170.0
t856,31927.815989213377,1.4003129774196524e-10,-2.8159892135181517,0.0,0.0,0.0,1.558258571602658e-14,0.0,0.0,-31925.0
t857,32005.494104390826,1.4301353577038477e-10,-2.4941043909631553,0.0,0.0,0.0,1.5627054091856825e-14,0.0,0.0,-32003.0
t858,32889.58572083175,1.423118487824322e-10,-2.5857208318894918,0.0,0.0,0.0,1.5633438988242992e-14,0.0,0.0,-32887.0
