BalanceComponent,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand
t27,16039.843426828846,1.282737643684316e-10,-94.84342682897157,0.0,0.0,0.0,1.3625045891270087e-14,0.0,0.0,-15945.0
t28,15809.772666865252,1.2823796499748444e-10,-99.77266686537817,0.0,0.0,0.0,1.3625045907156155e-14,0.0,0.0,-15710.0
t29,15701.84814138262,1.2783332127492093e-10,-105.84814138274436,0.0,0.0,0.0,1.3625045914931976e-14,0.0,0.0,-15596.0
t30,17059.11692039537,1.2732729580866113e-10,-113.11692039549399,0.0,0.0,0.0,1.3625045971949277e-14,0.0,0.0,-16946.0
t31,18616.46336389281,1.2714159341835272e-10,-113.46336389293855,0.0,0.0,0.0,1.3625045994901923e-14,0.0,0.0,-18503.0
t32,21550.91322504741,1.2794593724276203e-10,-104.91322504754012,0.0,0.0,0.0,1.3625046063414127e-14,0.0,0.0,-21446.0
t33,23683.41011071296,1.2790256896580298e-10,-109.41011071308549,0.0,0.0,0.0,1.3625046122232808e-14,0.0,0.0,-23574.0
t34,24598.30406048674,1.2774116145279097e-10,-108.30406048686967,0.0,0.0,0.0,1.3625046098834259e-14,0.0,0.0,-24490.0
t35,26073.56743842595,1.2748072791463032e-10,-106.56743842608304,0.0,0.0,0.0,1.362504609155927e-14,0.0,0.0,-25967.0
t36,27797.859590283366,1.2733462522163936e-10,-104.85959028349467,0.0,0.0,0.0,1.3625046129347853e-14,0.0,0.0,-27693.0
t37,28933.27724636196,1.283608067243915e-10,-93.27724636209068,0.0,0.0,0.0,1.3625046150135613e-14,0.0,0.0,-28840.0
t38,29540.75770405296,1.284527019297759e-10,-90.757704053094,0.0,0.0,0.0,1.3625046136209252e-14,0.0,0.0,-29450.0
t39,31376.982341393803,1.280216706026709e-10,-92.98234139392903,0.0,0.0,0.0,1.3625046193869557e-14,0.0,0.0,-31284.0
t40,34981.58491482207,1.2785105534974682e-10,-88.58491482220785,0.0,0.0,0.0,1.3625046344592527e-14,0.0,0.0,-34893.0
t41,38956.274515667326,1.2782152450433285e-10,-117.27451566746173,0.0,0.0,0.0,1.3625047337028316e-14,0.0,0.0,-38839.0
t42,41951.50489428506,1.3728555038979798e-10,-134.5048942852087,0.0,0.0,0.0,1.3625046859864656e-14,0.0,0.0,-41817.0
t43,39338.9394007722,1.2801864345966128e-10,-132.93940077233637,0.0,0.0,0.0,1.3625047073488896e-14,0.0,0.0,-39206.0
t44,32708.493921279234,1.282604892108168e-10,-80.49392127935897,0.0,0.0,0.0,1.3625046221542949e-14,0.0,0.0,-32628.0
t45,30046.1926294437,1.2763875082670354e-10,-88.19262944383388,0.0,0.0,0.0,1.3625046166136388e-14,0.0,0.0,-29958.0
t46,26505.590307233393,1.2760248265704034e-10,-89.59030723352406,0.0,0.0,0.0,1.3625046077773465e-14,0.0,0.0,-26416.0
t47,23347.29296600571,1.2875113202051796e-10,-85.29296600583375,0.0,0.0,0.0,1.3625046028152322e-14,0.0,0.0,-23262.0
t48,20824.837056837318,1.286351065538928e-10,-89.83705683744603,0.0,0.0,0.0,1.3625045983125909e-14,0.0,0.0,-20735.0
t49,18519.935089531766,1.282773392314992e-10,-93.93508953189709,0.0,0.0,0.0,1.3625045930228355e-14,0.0,0.0,-18426.0
t50,17204.20060471845,1.2774071258694396e-10,-100.20060471857884,0.0,0.0,0.0,1.3625045906721562e-14,0.0,0.0,-17104.0
t51,16270.00259510554,1.274862179319104e-10,-102.00259510566408,0.0,0.0,0.0,1.3625045895031173e-14,0.0,0.0,-16168.0
t52,15914.609861962384,1.2849428146084757e-10,-92.60986196251429,0.0,0.0,0.0,1.3625045901868338e-14,0.0,0.0,-15822.0
t53,15661.338501104103,1.285352517469283e-10,-94.3385011042301,0.0,0.0,0.0,1.3625045882117785e-14,0.0,0.0,-15567.0
t54,16815.713768106754,1.2815350002807171e-10,-98.71376810687967,0.0,0.0,0.0,1.3625045901855413e-14,0.0,0.0,-16717.0
t55,18117.062840804687,1.2775466089691501e-10,-101.06284080481362,0.0,0.0,0.0,1.36250458948163e-14,0.0,0.0,-18016.0
t56,20885.248176630103,1.2742851187471803e-10,-104.24817663023111,0.0,0.0,0.0,1.3625045955467057e-14,0.0,0.0,-20781.0
t57,22963.524224465848,1.2833343189091284e-10,-94.52422446597942,0.0,0.0,0.0,1.362504600266482e-14,0.0,0.0,-22869.0
t58,23837.993603246043,1.284972929179055e-10,-92.99360324617005,0.0,0.0,0.0,1.3625045990064855e-14,0.0,0.0,-23745.0
t59,25376.722727483695,1.281136619789056e-10,-96.72272748382056,0.0,0.0,0.0,1.3625046015999876e-14,0.0,0.0,-25280.0
